FAM162A,TSPAN3,FAM162A,LGALS3,PMP2,DCX,LPPR1,,MOXD1,,,,,,,,,,,,,,,GLI1,PALD1,TMSB10,ATP1A2,NCAN,PSMB2,BST2,HSPA6,BASP1,MEST,SLC2A1,PGK1,BRINP2
GBE1,RASSF4,GBE1,INSIG2,AQP4,DDAH2,PTPRZ1,,FAM107A,,,,,,,,,,,,,,,SLFN11,PRSS23,EEF1A1,SAT1,C1orf61,XRCC6,OXTR,CCDC127,SNCG,SNHG12,IGFBP2,PRUNE2,SERTAD4
SOD2,CD81,SOD2,IGFBP3,DBI,DLL1,VCAN,,NKX6.1,,,,,,,,,,,,,,,PSMB10,TM4SF1,RPS16,AGXT2L1,LOC101929625,PPP6C,ID3,SDHA,NELL2,PPP3CA,LGALS3,RORA,KIF2C
ENO2,HMGN3,ENO2,PPP1R15A,EDNRB,DLL3,DBI,,,,,,,,,,,,,,,,,LRG1,ACKR3,HIST1H1E,AHCYL1,BCAN,HIAT1,HLA-C,PDCD6,KCNK1,NAPB,LDHA,SLC2A1,MITF
PFKP,SLC20A2,PFKP,VIM,PTPRZ1,DLX5,PMP2,,,,,,,,,,,,,,,,,TRPM3,KDM5D,GNAS,GLUD1,SCG3,RNF10,CD63,06-Mar,PLD3,HLA-A,CD9,STC2,COL14A1
PI3,SDC3,PI3,PLOD2,CLU,DLX6-AS1,CNP,,,,,,,,,,,,,,,,,LRP1,SERPINE1,RPS24,S100B,DPP10-AS1,KANSL3,IL1RAP,,YWHAZ,ATP1B2,PKM,SYNPO,ANGPTL1
CAV1,SPARC,CAV1,GBE1,PMP22,DPYSL3,TNS3,,,,,,,,,,,,,,,,,PLA2G3,TGM1,RPS15,TSPAN7,LOC440040,REXO4,ACSS3,,TUBB2A,MRC2,OLFM1,TNFAIP3,COLEC12
IGFBP2,GABARAPL2,IGFBP2,SLC2A3,ATP1A2,DPYSL5,LIMA1,,,,,,,,,,,,,,,,,ASPG,COBLL1,ACTG1,HTRA1,KCNQ2,PSMD11,ITGAV,,SNCA,PLIN2,LOX,VEGFA,MBP
ERO1A,TRIM47,ERO1A,FTL,S100A16,DYNC1I1,CA10,,,,,,,,,,,,,,,,,CFB,FLNC,CCND2,FAM171B,DCX,SUMO1,IFITM3,,PTPRN,G0S2,MT3,,SERPINF1
TPI1,ADGRG1,TPI1,WARS,HEY1,ELAVL4,PCDHGC3,,,,,,,,,,,,,,,,,IRGM,FOSL1,HIST1H1D,HEPN1,TTC9B,PLRG1,SPRED1,,UCHL1,,ARRDC3,,ACP6
CA12,HTRA1,CA12,ERO1L,PCDHGC3,ELMO1,CNTN1,,,,,,,,,,,,,,,,,MC2R,ATF3,SFRP1,GPRC5B,BTBD17,CBWD2,TAP1,,STXBP1,,PLOD2,,S100Z
SLC39A14,TSPAN7,SLC39A14,XPOT,TTYH1,ENO2,SCD5,,,,,,,,,,,,,,,,,GAL3ST4,COL6A1,NCL,MBP,THCAT155,TIMMDC1,GNG5,,BEX1,,PYGL,,FKRP
MT-ND4L,PON2,MT-ND4L,HSPA5,NDRG2,ETV1,P2RX7,,,,,,,,,,,,,,,,,GPC2,IL6,RPL18,FTH1,LUZP2,TMEM126A,TXNIP,,ATP6V1G2,,ARL4C,,SPRY4
GPI,TYROBP,GPI,GDF15,PRCP,FNBP1L,CADM2,,,,,,,,,,,,,,,,,TMEM35A,CERS6,RPL6,S100A13,IGLON5,AGK,GAP43,,MOAP1,,CEBPD,,SH3TC2
ADM,RAMP1,ADM,ANXA2,ATP1B2,FXYD6,TTYH1,,,,,,,,,,,,,,,,,UGT1A8,SGK1,NREP,FAM107A,LINC01322,DRG1,SERPING1,,TMEM59L,,FAM162A,,CD180
RPL39,OLIG1,RPL39,EPAS1,AGT,GLCCI1,FGF12,,,,,,,,,,,,,,,,,UGT1A3,SPP1,FXYD6,MT3,LRRC10,PDE12,GLDC,,VAMP2,,NDRG1,,CBLN1
AK4,RASSF2,AK4,LDHA,PLTP,GNG3,TMEM206,,,,,,,,,,,,,,,,,UGT1A1,CDT1,HIST1H1C,SCG3,LHFPL3,FASTKD5,RARRES3,,BEX2,,P4HA1,,CYTL1
FTL,FJX1,FTL,P4HA1,GPM6B,GPR56,NEU4,,,,,,,,,,,,,,,,,UGT1A6,TNC,RPL35,ALDH2,MYT1,C11orf58,TUBB6,,PREPL,,PGK1,,
CTSD,AIF1,CTSD,SERTAD1,F3,GRIK2,FXYD6,,,,,,,,,,,,,,,,,IFNAR2,ANXA2,MAP2,SERPINE2,FCGR2B,RPL7L1,ISG15,,SERINC1,,SLC2A3,,
ZFAS1,ITM2C,ZFAS1,PFKP,RAB31,HES6,RNF13,,,,,,,,,,,,,,,,,ZNF354A,KLHDC8A,TUBA1C,OMG,SLC6A11,RNF111,ANXA2,,KLC1,,ENO2,,
BNIP3L,HLA-DMA,BNIP3L,PGK1,PPAP2B,HIP1,RTKN,,,,,,,,,,,,,,,,,PHYHD1,SYT4,FOSB,KCNJ10,SLC6A1,C2orf47,CD151,,MAP2K1,,GADD45B,,
PLIN2,GATM,PLIN2,EGLN3,ANXA5,HMP19,GPM6B,,,,,,,,,,,,,,,,,LRRC8A,S1PR3,RPL39,IGFBP7,SLC1A6,TERF1,TFRC,,NSF,,VIM,,
RPL36,TTYH1,RPL36,SLC6A6,TSPAN7,HN1,LMF1,,,,,,,,,,,,,,,,,ZNF226,FN1,UCHL1,EDNRB,COL20A1,VAPB,HLA-B,,NPTN,,ADAMTS9,,
ZNF395,ATP1B2,ZNF395,CA9,,HN1,ALCAM,,,,,,,,,,,,,,,,,SAMHD1,RNF125,RPL4,CSRP1,ELAVL4,PSMC2,HTRA1,,NDRG4,,HSP90B1,,
DNAJB1,PTPRZ1,DNAJB1,BNIP3L,,IGFBPL1,PGRMC1,,,,,,,,,,,,,,,,,ST6GALNAC5,BGN,CCNI,GJB6,EVX1-AS,DYNC1H1,SRGN,,YWHAG,,CHPF,,
C4orf3,TUBA1A,C4orf3,RPL21,,KIF5A,HRASLS,,,,,,,,,,,,,,,,,PRELP,JCAD,EIF4G2,SRI,CLVS1,THAP1,H3F3B,,ATP6V1A,,FAM20C,,
RPL32,PLTP,RPL32,TRAM1,,KIF5C,BCAS1,,,,,,,,,,,,,,,,,PLEC,OCIAD2,EEF2,ADD3,BAALC-AS2,ARMC1,HLA-E,,ATP1B1,,09-Sep,,
RPL24,VSIG4,RPL24,UFM1,,LBH,RAB31,,,,,,,,,,,,,,,,,PARP10,TAGLN,RPL3,PPAP2B,WISP1,CTNNB1,SELENON,,ARPP19,,PRDX2,,
HILPDA,FXYD6,HILPDA,ASNS,,LMF1,PLLP,,,,,,,,,,,,,,,,,IL17RD,MOBP,NRG1,F3,LRRC3B,PDHB,METRN,,,,HSPA8,,
ARRDC3,METRN,ARRDC3,GOLT1B,,LOC150568,FABP5,,,,,,,,,,,,,,,,,TFCP2L1,TTR,ARHGAP21,PMP22,GFI1B,SRP68,HINT1,,,,PFKP,,
HK2,SCRG1,HK2,ANGPTL4,,LRRN1,NLGN3,,,,,,,,,,,,,,,,,APCDD1,S100A4,GNB2L1,SLC4A4,SLA,GANAB,DAG1,,,,PXYLP1,,
S100A10,HLA-DMB,S100A10,SLC39A14,,MAP1B,SERINC5,,,,,,,,,,,,,,,,,NLRC5,ASNS,STMN1,ITM2C,PCSK2,EED,LPL,,,,TRIM9,,
LOX,FCGR3A,LOX,CDKN1A,,MAP2,EPB41L2,,,,,,,,,,,,,,,,,C3,GDF15,HMGCS1,RANBP3L,KCNJ4,RAB11A,S100A10,,,,OAZ1,,
PLOD2,SLCO2B1,PLOD2,HSPA9,,MARCKSL1,GPR37L1,,,,,,,,,,,,,,,,,GBP2,NID1,VCAN,TPP1,INSM2,LTA4H,IFI27,,,,NUPR1,,
HSPA1B,MLC1,HSPA1B,CHI3L1,,MEST,,,,,,,,,,,,,,,,,,,,,,LINC00645,MED14,CLPTM1L,,,,SLC3A2,,
RPL27A,HOPX,RPL27A,ANXA2,,MIAT,,,,,,,,,,,,,,,,,,,,,,LINC00609,UBA3,GBP1,,,,RAB13,,
SLC2A3,MS4A6A,SLC2A3,ANXA1,,MLLT11,,,,,,,,,,,,,,,,,,,,,,SLC24A4,TSR2,AP2M1,,,,CALR,,
VIM,HAMP,VIM,CD44,,MYT1,,,,,,,,,,,,,,,,,,,,,,SRRM4,NUTF2,EIF1,,,,BNIP3,,
NUPR1,METTL7A,NUPR1,VIM,,NDRG4,,,,,,,,,,,,,,,,,,,,,,OLIG1,C6orf89,DNAJC6,,,,MXRA7,,
RPS27,HLA-DPB1,RPS27,MT2A,,NEU4,,,,,,,,,,,,,,,,,,,,,,KY,CUL5,CHGA,,,,HMOX1,,
GAS5,STAB1,GAS5,C1S,,NFIB,,,,,,,,,,,,,,,,,,,,,,NXPH1,STRAP,COX7A1,,,,PPDPF,,
TPM4,HLA-DPA1,TPM4,NAMPT,,NFIX,,,,,,,,,,,,,,,,,,,,,,CPNE6,TCEAL4,FBXL16,,,,AK5,,
ALDOA,C1QC,ALDOA,EFEMP1,,NPPA,,,,,,,,,,,,,,,,,,,,,,ENPP6,SEC16A,PGAM1,,,,FAIM2,,
EIF1,GFAP,EIF1,C1R,,NREP,,,,,,,,,,,,,,,,,,,,,,IL33,CIRH1A,MEG3,,,,LY6E,,
SYNPO,ELN,SYNPO,SOD2,,NSG1,,,,,,,,,,,,,,,,,,,,,,CHRNA4,MAP3K7,LOXL2,,,,HSPH1,,
UPP1,C1QB,UPP1,IFITM3,,NXPH1,,,,,,,,,,,,,,,,,,,,,,CRYGA,CCT5,,,,,TUBB4A,,
RPL37A,S100B,RPL37A,TIMP1,,OLIG1,,,,,,,,,,,,,,,,,,,,,,OTOR,ITSN2,,,,,ANK2,,
RPS18,HLA-DRA,RPS18,SPP1,,PAK3,,,,,,,,,,,,,,,,,,,,,,ACTL6B,NDUFB3,,,,,SH3BGRL3,,
CCNI,CD74,CCNI,A2M,,PCBP4,,,,,,,,,,,,,,,,,,,,,,OLIG2,CTR9,,,,,HSPB1,,
BTG1,FCGBP,BTG1,S100A11,,PFN2,,,,,,,,,,,,,,,,,,,,,,C2orf80,PIN4,,,,,LGALS3BP,,
LIF,CST3,LIF,MT1X,,PKIA,,,,,,,,,,,,,,,,,,,,,,ASIC4,NOL11,,,,,STMN1,,
,,SCD5,S100A10,,PTPRS,,,,,,,,,,,,,,,,,,,,,,FOXB1,RTCB,,,,,BEX3,,
,,ST6GAL1,FN1,,RBFOX2,,,,,,,,,,,,,,,,,,,,,,KCND2,GTF2A2,,,,,NDUFA4,,
,,LYPD1,LGALS1,,RND3,,,,,,,,,,,,,,,,,,,,,,NKAIN4,TRNT1,,,,,PHYHIP,,
,,GTF2I,S100A16,,SCG3,,,,,,,,,,,,,,,,,,,,,,GPR139,DERL2,,,,,ATP5MD,,
,,COL5A3,CLIC1,,SERINC5,,,,,,,,,,,,,,,,,,,,,,LINGO1,USB1,,,,,HSPA1B,,
,,LRP1,MGST1,,SEZ6,,,,,,,,,,,,,,,,,,,,,,LINC00354,ATP6AP2,,,,,MLLT11,,
,,HCLS1,RCAN1,,SEZ6L,,,,,,,,,,,,,,,,,,,,,,GRM5,PSMD2,,,,,ATP6V1E1,,
,,TREM2,TAGLN2,,SHD,,,,,,,,,,,,,,,,,,,,,,PTPN5,KIAA0196,,,,,RAMP1,,
,,CYBB,NPC2,,SNAP25,,,,,,,,,,,,,,,,,,,,,,PRELP,SNX19,,,,,CCL2,,
,,HLA-DQA1,SERPING1,,SOX11,,,,,,,,,,,,,,,,,,,,,,FUT9,C5orf22,,,,,MDH1,,
,,TUBB2B,C8orf4,,SOX4,,,,,,,,,,,,,,,,,,,,,,CSPG5,PSMD14,,,,,,,
,,OLFM2,EMP1,,STMN1,,,,,,,,,,,,,,,,,,,,,,TMEM132C,UBFD1,,,,,,,
,,LAP3,APOE,,STMN2,,,,,,,,,,,,,,,,,,,,,,ADARB2,PDCD5,,,,,,,
,,TUBA1B,CTSB,,STMN4,,,,,,,,,,,,,,,,,,,,,,TRIM67,ATG13,,,,,,,
,,GPM6A,C3,,TAGLN3,,,,,,,,,,,,,,,,,,,,,,CNTNAP5,PFDN1,,,,,,,
,,CYBA,LGALS3,,TCF12,,,,,,,,,,,,,,,,,,,,,,SPATA22,KIAA1429,,,,,,,
,,TSPAN3,MT1E,,TCF4,,,,,,,,,,,,,,,,,,,,,,RUNDC3A,COG1,,,,,,,
,,RASSF4,EMP3,,TMEM161B-AS1,,,,,,,,,,,,,,,,,,,,,,GABRD,CLTC,,,,,,,
,,CD81,SERPINA3,,TNR,,,,,,,,,,,,,,,,,,,,,,FAM182A,VPS37A,,,,,,,
,,HMGN3,ACTN1,,TSPAN13,,,,,,,,,,,,,,,,,,,,,,MLLT10P1,EIF1AD,,,,,,,
,,SLC20A2,PRDX6,,TUBA1A,,,,,,,,,,,,,,,,,,,,,,LINC00924,FAM136A,,,,,,,
,,SDC3,IGFBP7,,TUBB2A,,,,,,,,,,,,,,,,,,,,,,SPPL2C,XRN1,,,,,,,
,,SPARC,SERPINE1,,TUBB3,,,,,,,,,,,,,,,,,,,,,,TSL,FDX1,,,,,,,
,,GABARAPL2,PLP2,,UCHL1,,,,,,,,,,,,,,,,,,,,,,GDAP1L1,SLC30A5,,,,,,,
,,TRIM47,MGP,,,,,,,,,,,,,,,,,,,,,,,,DTHD1,MAPK9,,,,,,,
,,ADGRG1,CLIC4,,,,,,,,,,,,,,,,,,,,,,,,ARC,IKBKB,,,,,,,
,,HTRA1,GFPT2,,,,,,,,,,,,,,,,,,,,,,,,CELF5,ARPC4,,,,,,,
,,TSPAN7,GSN,,,,,,,,,,,,,,,,,,,,,,,,CA14,PRDM4,,,,,,,
,,PON2,NNMT,,,,,,,,,,,,,,,,,,,,,,,,LMO1,EPRS,,,,,,,
,,TYROBP,TUBA1C,,,,,,,,,,,,,,,,,,,,,,,,NECAB2,YY1,,,,,,,
,,RAMP1,GJA1,,,,,,,,,,,,,,,,,,,,,,,,LOC102724604,SEC11A,,,,,,,
,,OLIG1,TNFRSF1A,,,,,,,,,,,,,,,,,,,,,,,,LOC101927272,SPTLC1,,,,,,,
,,RASSF2,WWTR1,,,,,,,,,,,,,,,,,,,,,,,,MIR325HG,TCEA1,,,,,,,
,,FJX1,,,,,,,,,,,,,,,,,,,,,,,,,MAPT-IT1,FKBP15,,,,,,,
,,AIF1,,,,,,,,,,,,,,,,,,,,,,,,,LINC00463,TBC1D22B,,,,,,,
,,ITM2C,,,,,,,,,,,,,,,,,,,,,,,,,C9orf171,LSM3,,,,,,,
,,HLA-DMA,,,,,,,,,,,,,,,,,,,,,,,,,GSX1,CEP164,,,,,,,
,,GATM,,,,,,,,,,,,,,,,,,,,,,,,,DLL3,PIGG,,,,,,,
,,TTYH1,,,,,,,,,,,,,,,,,,,,,,,,,IGF2-AS,DPH3,,,,,,,
,,ATP1B2,,,,,,,,,,,,,,,,,,,,,,,,,MAPT,ASXL2,,,,,,,
,,PTPRZ1,,,,,,,,,,,,,,,,,,,,,,,,,CSMD1,CHCHD4,,,,,,,
,,TUBA1A,,,,,,,,,,,,,,,,,,,,,,,,,HMGA1P7,SYS1,,,,,,,
,,PLTP,,,,,,,,,,,,,,,,,,,,,,,,,EPHB1,METAP1,,,,,,,
,,VSIG4,,,,,,,,,,,,,,,,,,,,,,,,,AGT,UBE2A,,,,,,,
,,FXYD6,,,,,,,,,,,,,,,,,,,,,,,,,TMEM196,VPS4B,,,,,,,
,,METRN,,,,,,,,,,,,,,,,,,,,,,,,,SHANK2,MRPL36,,,,,,,
,,SCRG1,,,,,,,,,,,,,,,,,,,,,,,,,CPLX1,DNAJB6,,,,,,,
,,HLA-DMB,,,,,,,,,,,,,,,,,,,,,,,,,OMG,FUBP1,,,,,,,
,,FCGR3A,,,,,,,,,,,,,,,,,,,,,,,,,PCDH12,WDR11,,,,,,,
,,SLCO2B1,,,,,,,,,,,,,,,,,,,,,,,,,GJB1,RAD23B,,,,,,,
,,MLC1,,,,,,,,,,,,,,,,,,,,,,,,,SHISA7,MEMO1,,,,,,,
,,HOPX,,,,,,,,,,,,,,,,,,,,,,,,,KRT20,MRPL50,,,,,,,
,,MS4A6A,,,,,,,,,,,,,,,,,,,,,,,,,SLITRK3,STK24,,,,,,,
,,HAMP,,,,,,,,,,,,,,,,,,,,,,,,,SYNPO2L,DNAJC7,,,,,,,
,,METTL7A,,,,,,,,,,,,,,,,,,,,,,,,,COL28A1,UGGT1,,,,,,,
,,HLA-DPB1,,,,,,,,,,,,,,,,,,,,,,,,,LINC01549,METTL15,,,,,,,
,,STAB1,,,,,,,,,,,,,,,,,,,,,,,,,SHD,ITSN1,,,,,,,
,,HLA-DPA1,,,,,,,,,,,,,,,,,,,,,,,,,KCNN1,STAM2,,,,,,,
,,C1QC,,,,,,,,,,,,,,,,,,,,,,,,,COL9A1,FECH,,,,,,,
,,GFAP,,,,,,,,,,,,,,,,,,,,,,,,,PRR32,SUPV3L1,,,,,,,
,,ELN,,,,,,,,,,,,,,,,,,,,,,,,,ADCYAP1R1,ERLIN2,,,,,,,
,,C1QB,,,,,,,,,,,,,,,,,,,,,,,,,ELDR,CSDE1,,,,,,,
,,S100B,,,,,,,,,,,,,,,,,,,,,,,,,LOC101928307,CNOT11,,,,,,,
,,HLA-DRA,,,,,,,,,,,,,,,,,,,,,,,,,SALL3,CHMP7,,,,,,,
,,CD74,,,,,,,,,,,,,,,,,,,,,,,,,LRRN2,TPRKB,,,,,,,
,,FCGBP,,,,,,,,,,,,,,,,,,,,,,,,,MASP1,CXorf40B,,,,,,,
,,CST3,,,,,,,,,,,,,,,,,,,,,,,,,TNR,COG3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,EVX1,RAB22A,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,NAT16,ZC3H12C,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,NPVF,UBP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GRIK1,TRIM32,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HABP2,CCNK,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MIMT1,GPN2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MAPT-AS1,NUP153,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GPR45,MAEA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SELV,DCUN1D5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC32A1,KDM2A,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC24A3,RRN3P3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ARHGDIG,BFAR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ATCAY,ADIPOR2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,NRXN2,MTCH1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,JAKMIP1,TSR1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,C20orf203,RNF8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM145,DPAGT1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,BAALC,BZW1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ARHGAP19-SLIT1,RNF114,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LINC01105,RWDD4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GABRP,C16orf70,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FAM181B,NUP98,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,BAIAP3,GLB1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FCGR2C,MRRF,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDH1L1-AS2,THUMPD1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HSPA7,MGME1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,STMN4,PHAX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,RLBP1,KIAA1033,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ATP1A3,TRIP12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRNA7,DHX16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CYP4F24P,RAD50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LOC285484,ACTL6A,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GIMAP1,ARAF,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SCN10A,VIMP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,GSG1L,ZBTB8OS,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SOX1,UBE2B,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HMP19,GLRX5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PCDH10,FOPNL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ADRA1A,API5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CCND2,CTTNBP2NL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FGD3,NUS1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ZDHHC22,VPS37C,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SEZ6L,SMPD4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,RIMS4,EMC6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DPP6,MORF4L1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LINGO1-AS1,OGFOD1,,,,,,,
